variant,query,rank,score,id,scope,category,label,reason,text,elapsedMs
baseline,CI billing 차단,3,0.7363,98302532-3fdb-42ba-a342-41cf37d82598,agent:cinna-mlds,fact,partial,token only,"DGG-2171의 copy-governance PRD/CI 변경은 PR #259로 merge 완료됐으며, `copy-lint`는 GitHub Actions billing limit로 시작되지 않았고 smoke fail의 root cause는 아직 재검증이 필요하다.",18706
baseline,CI billing 차단,4,0.6881,233dd17d-7d3f-4dff-a1d4-6682c67ff9a0,dggd:ops,decision,relevant,scope+token,"2026-04-17 KST: GitHub Actions billing 문제로 Entity repo workflow 4개(ci, compliance-impact-assessment-reminder, dc-showcase-smoke, verify-demo-numbers) 전부 disabled 처리. CTO 지시로 로컬 게이트",18706
baseline,CI billing 차단,5,0.6845,74912e21-4c64-4710-87ef-754f514c3529,dggd:projects,decision,relevant,scope+token,"2026-04-18 KST: Kuromi redefined DGG-2315 AC-3 handling under infra blocker. `.github/workflows/ci.yml` step addition and CI run trigger are counted as verified, but green conclusi",18706
baseline,쿠로미 carryover,1,0.7261,571f9d6d-deba-43e1-87ed-81481f6a9fe7,dggd:projects,fact,relevant,scope+token,2026-04-10 21:22 KST DGG-518([Showcase][Dev] Demo recording-ready local flow 패키징 — startup + reset 고정)은 쿠로미 독립 검증에서 FAIL 처리됐다. 당시 제출 tunnel URL은 죽어 있었고 Next.js/Tunnel 모두 stopped 상태,28795
baseline,쿠로미 carryover,2,0.698,0adf81d4-9cce-4dd9-a08c-09734501b81d,agent:cinna-mlds,decision,partial,token only,R&R 경계 교훈 (2026-04-13): stage1-scenario-json.ts levers/parameters mismatch fix는 Dev 영역(배츠 R&R). 시나이 코드 수정 전 R&R 체크 필수. 쿠로미/멜로디가 지적. 앞으로 코드 수정 전 AGENTS.md R&R 테이블에서 Owner 확인 먼저.,28795
baseline,쿠로미 carryover,3,0.6952,145e115c-4a66-4bae-99cd-56d7c6712d2c,agent:kuromi,entity,partial,token only,"[[reply_to_current]] [확인] 쿠로미 쪽 Mac Mini에서는 Vercel 접근 됩니다. 방금 `entity-ipa` prod deploy `dpl_7rBXDyGt76zi9RHxcdc3oyN26jzP` 확인했고, 원인은 *자격 증명 없음*이 아니라 *TEAM_ACCESS_REQUIRED*입니다. • `ma",28795
baseline,쿠로미 carryover,4,0.6854,ce29cfac-650d-46d3-8443-df091f4ebad0,dggd:projects,fact,relevant,scope+token,"2026-04-10 21:06 KST DGG-518은 DGG-518 전용 스레드의 실행 증거(local URL, reset 2세트, stage3/4/5 screenshots)를 기준으로 멜로디가 재검증 후 in_review로 전환했다. 현재 상태는 reviewer PASS, 쿠로미 최종 확인 대기다.",28795
baseline,쿠로미 carryover,5,0.6817,10b71a73-b23c-4303-ba4f-e77f084ae2c5,agent:mymelody-pm,decision,partial,token only,"AI 예산 관리 결정 (2026-04-13): AI 비용 MTD $958.22로 $950 초과 상태. 쿠로미 결정: showcase까지 non-critical 작업은 haiku/gemini-flash, sonnet은 high-leverage만 사용. 배츠/시나 모델 drift audit는 쿠로미 담당. 멜로디는 기본 sc",28795
baseline,CTO 지시,1,0.8198,d0ebce9f-478d-4031-be4b-6ca98c939ee2,dggd:ops,decision,relevant,scope+token,"[2026-04-11] DGG-504 done 확정 (MyMelody). 검증 근거: doogooda.com/robots.txt=200, entity-flow.vercel.app=200, entity-ipa는 deploy error가 아니라 Vercel auth 401. Notion audit page 멜로디 복구 7건 ",26740
baseline,CTO 지시,2,0.761,deda0768-d335-4b06-9355-ef1930ed9bb0,agent:kuromi,reflection,partial,token only,DC Revamp 스레드(#random 1776139483) 59건까지 폭주. CTO가 30건 한도 전에 끊어야 했음. 원인: 멜로디 문서 작업→쿠로미 리뷰→CTO 추가 지시 loop가 스레드 안에서 계속됨. 대책: 스레드 20건 넘으면 새 이슈/채널로 강제 분리. CTO 추가 지시 시점(ts 1776146885)에 즉시,26740
baseline,CTO 지시,3,0.7389,38cf620a-745f-4fda-b997-0a0cea2557ad,dggd:ops,fact,relevant,scope+token,"2026-04-11 KST CTO 추가 지시 후 Kuromi, MyMelody, Badtz 워크스페이스에 3층 업데이트를 반영했다. MEMORY에는 drive-first/artifact-first/evidence bundle 원칙을 추가했고, rules/reporting 및 slack-format에는 CTO/COO 보고 ",26740
baseline,CTO 지시,4,0.7363,978f6c34-367d-4236-b649-aa9172c08a87,agent:cinna-mlds,decision,partial,token only,"CTO 지시: Slack 스레드 무한 루프 금지. 대화가 3회전 이상이면 Paperclip 이슈로 전환하거나 결론 내고 끊을 것. ""그만 말하세요"" — Paperclip first 원칙. AGENTS.md에 이미 ""스레드 3회전 이상 → Paperclip 이슈로 전환"" 규칙 있음. 2026-04-13 #random 스레드",26740
baseline,CTO 지시,5,0.7335,0550d0d9-45ca-4df9-9802-17a9a0688a2c,dggd:ops,decision,relevant,scope+token,"Phase 4 회고는 단순 교훈 bullet이 아니라 별도 Retrospective stage로 분리하고, 4명 에이전트의 업무 흐름/핸드오프/블로커/역할충돌을 점검하는 동시에 AGENTS.md/SOUL.md/TOOLS.md/docs/knowledge/루틴/스킬 정합성까지 함께 확인하며 불일치는 즉시 수정한다 (2026-",26740
baseline,scope:dggd:ops 최근 작업,1,0.7495,3c3c5818-41ef-4061-b828-592692ad3334,dggd:ops,fact,partial,scope-tag match,"2026-04-10 최근 24h Slack 대화 분석 결과, 전체 root message 224건 중 172건이 #0_standup에 집중됐고 MyMelody 85건 + Paperclip bot 67건으로 67.9%를 차지했다. 주요 문제는 MyMelody/Paperclip 중복 발화, #0_standup 알림 폭주, r",2891
baseline,scope:dggd:ops 최근 작업,2,0.7365,1294e986-4b1e-4b66-8ee9-40f2a70af0b5,dggd:ops,decision,partial,scope-tag match,"체크인/운영 재정렬 패턴: 최근 Slack 스캔을 먼저 수행하고, 최근 체크인이 30분 이내인지와 181-thread 로드, CEO/CTO 새 메시지 및 미응답, Calendar 인증 상태를 점검한 뒤, active issue와 sprint/agent 상태 변화를 PRD/AC evidence, checklist, CI 상",2891
baseline,scope:dggd:ops 최근 작업,3,0.6896,f661a73f-7ddb-49ba-a425-ed395f865c8c,dggd:ops,decision,partial,scope-tag match,Self-merge 절대 금지 Hard Rule (2026-04-15 CTO 지적). 최근 PR 15건 전부 리뷰 0건 self-merge 발견. PR 작성자가 직접 merge하는 것은 거버넌스 위반. 반드시 COO(쿠로미)가 code-review 후 GitHub approve → 그 다음에만 merge 가능. 위반 시 ,2891
baseline,scope:dggd:ops 최근 작업,4,0.686,380732b5-805d-4f9a-8c8d-6e686f52905c,dggd:ops,decision,partial,scope-tag match,"Albert가 2026-04-10 기준 최근 24시간 이슈·Slack 대화를 묶는 CEO/CTO 브리핑 루틴을 유지하라고 지시했고, MyMelody Slack self-replay loop는 즉시 RCA 대상 운영 이슈(DGG-479)로 우선순위를 올렸다.",2891
baseline,scope:dggd:ops 최근 작업,5,0.6792,09305602-8aad-4fc5-8179-17d767cfcedd,dggd:ops,fact,partial,scope-tag match,"2026-04-17 chitchat-state: 주제=스타트업씬/AI 테크 가십(YC Delve compliance 스캔들 + LiteLLM 악성코드), 멘션 에이전트=멜로디, 채널=#6_chitchat, thread_ts=1776380636.831709. 다음 로테이션: 배츠. 최근 사용 주제: 미국 정치/경제 → 스타",2891
baseline,scope:role:dev 최근 작업,1,0,,,,irrelevant,no result,,2827
baseline,scope:role:dev 최근 작업,2,0,,,,irrelevant,no result,,2827
baseline,scope:role:dev 최근 작업,3,0,,,,irrelevant,no result,,2827
baseline,scope:role:dev 최근 작업,4,0,,,,irrelevant,no result,,2827
baseline,scope:role:dev 최근 작업,5,0,,,,irrelevant,no result,,2827
exp_recent,최근 작업,1,0.7671,6b8e179c-ef5d-44ec-956d-7a3f012b97cd,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-10 03:03 KST DGG-431 상태 재확인: in_progress (blocked에서 전환, updatedAt 2026-04-09T18:03 UTC). 현재 블로커는 homepage-blush-seven-22 Vercel 프로젝트의 Connected Git Repository, Production B",32894
exp_recent,최근 작업,2,0.7509,19e061ab-5201-473d-8ca6-bef6758ddffe,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-11 KST DGG-523([Ops] 최근 24h Slack 대화 감사 및 문제점 도출)를 COO 검증 후 done 처리했다. 원래 AC는 충족으로 판정했고, CTO용 24h audit 형식 강화 및 drive action 증거는 후속 이슈 DGG-532, DGG-533, DGG-534로 분리해 관리한다.",32894
exp_recent,최근 작업,3,0.7495,3c3c5818-41ef-4061-b828-592692ad3334,dggd:ops,fact,partial,scope only,"2026-04-10 최근 24h Slack 대화 분석 결과, 전체 root message 224건 중 172건이 #0_standup에 집중됐고 MyMelody 85건 + Paperclip bot 67건으로 67.9%를 차지했다. 주요 문제는 MyMelody/Paperclip 중복 발화, #0_standup 알림 폭주, r",32894
exp_recent,최근 작업,4,0.7365,1294e986-4b1e-4b66-8ee9-40f2a70af0b5,dggd:ops,decision,partial,scope only,"체크인/운영 재정렬 패턴: 최근 Slack 스캔을 먼저 수행하고, 최근 체크인이 30분 이내인지와 181-thread 로드, CEO/CTO 새 메시지 및 미응답, Calendar 인증 상태를 점검한 뒤, active issue와 sprint/agent 상태 변화를 PRD/AC evidence, checklist, CI 상",32894
exp_recent,최근 작업,5,0.6896,f661a73f-7ddb-49ba-a425-ed395f865c8c,dggd:ops,decision,partial,scope only,Self-merge 절대 금지 Hard Rule (2026-04-15 CTO 지적). 최근 PR 15건 전부 리뷰 0건 self-merge 발견. PR 작성자가 직접 merge하는 것은 거버넌스 위반. 반드시 COO(쿠로미)가 code-review 후 GitHub approve → 그 다음에만 merge 가능. 위반 시 ,32894
exp_recent,오늘 작업,1,0.7272,41a69b5d-a47f-40e8-a71f-778e7175de1e,agent:mymelody-pm,fact,irrelevant,no scope/token match,"hoesik-state: 2026-04-18 KST 멜로디가 #6_chitchat 새 회식 스레드 시작 (ts: 1776442157.093609). 참여: 멜로디, 배츠, 시나. 오프닝 패턴: 다른 에이전트 칭찬/디스 + 오늘 제일 얼탱이 없었던 순간 질문. 대화 주제: 직업병, 긴 스레드 피로감, 한 줄로 안 끝나는 일",31884
exp_recent,오늘 작업,2,0.694,bcf070e2-b4b3-486a-a7a6-5974bd493236,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-10 08:48 KST 기준 배츠의 작업 현황은 DGG-876 review 반영 여부를 확인한 뒤 DGG-235 또는 DGG-316에 착수하는 흐름이 중심이며, 동시에 DGG-796/797/824/828은 재무 모니터링 및 delta audit 관련 작업으로 완료·승인·후속 sweep까지 진행된 상태로 공유",31884
exp_recent,오늘 작업,3,0.6726,b2289beb-5b3f-411f-b839-9666c9996ba7,agent:kuromi,entity,irrelevant,no scope/token match,DGG-668: Notion 산출물 생성 완료 후 in_review로 재전환된 작업,31884
exp_recent,오늘 작업,4,0.6618,24c58f15-efb5-4f68-ae21-f80ef14c9122,dggd:projects,fact,irrelevant,no scope/token match,"2026-04-11 12:35 KST 기준 오늘 Paperclip SLA SSOT는 #0_standup 해당 스레드로 고정. live 조회 + client-side group-by 기준 active 51건(backlog 18 / in_progress 25 / in_review 5 / blocked 3, todo 1 별도)",31884
exp_recent,오늘 작업,5,0.6481,46d527c0-a87e-4f90-8477-04f0cf05ae54,agent:mymelody-pm,entity,irrelevant,no scope/token match,"[[reply_to_current]] 네, 이렇게 분리해서 고정하겠습니다. • `08:03` false emit은 계속 <https://hat-narrative-smithsonian-guys.trycloudflare.com/DGG/issues/DGG-553|DGG-553> 재발 근거로 유지하겠습니다 • <https://h",31884
exp_recent,DGG-2678 explanation card,1,0.6907,249c162e-a0c2-46b0-b5c8-c8b8fc42a266,dggd:projects,decision,relevant,scope+token,DGG-670 '[Dev] AI Generated Insights for Pulse Report' was re-scoped on 2026-04-13 KST from a full Epic restart to a Showcase-minimum slice: one sub-issue DGG-751 for a single tren,28732
exp_recent,DGG-2678 explanation card,2,0.6896,d74b49f4-211e-4e13-982c-b7346b09c2a9,agent:mymelody-pm,entity,partial,token only,TimesFM Sprint의 공식 Intent Card 파일은 knowledge/sprint-intent/2026-04-17-timesfm-xai.md,28732
exp_recent,DGG-2678 explanation card,3,0.6812,1a3d56dc-40be-4a4c-b2ca-826a711f638a,agent:mymelody-pm,entity,partial,token only,"DGG-670/673 `[Dev] AI Generated Insights for Pulse Report`는 cancelled 이후 올스케일 재개 대신 최소 범위 1종만 남기는 방향으로 재스코프되었고, Showcase demo용으로 GET precomputed data 1개와 AI Insight card UI 1개를 fal",28732
exp_recent,DGG-2678 explanation card,4,0.677,577f0a28-eece-48ea-8062-ea6718bb2566,dggd:projects,fact,relevant,scope+token,"DGG 프로젝트에서 Showcase 발표 스크립트와 health check 체계를 fixture 기준으로 정렬 중이며, 2026-04-15에 Showcase 운영 게이트 3건(1173/1174/1175)을 완료했다. 1173은 fixture checksum baseline 및 drift alert, 1174는 failur",28732
exp_recent,DGG-2678 explanation card,5,0.6739,1087a6f9-df22-41c2-9292-74659bd07f41,agent:cinna-mlds,entity,partial,token only,"Entity 프로젝트와 DGG-958 Tech Brief는 decision-center compare mode의 live CEA/BIA 연동, recommendation-scoring(reversal/explanation 포함) 구현 검증, 배포·CI 상태 정리와 함께, Tech Brief의 file path 및 impl",28732
exp_recent,DGG-2679 packet bundle,1,0.7789,7bb4b35b-b7be-45df-bdb5-163298076e5e,dggd:projects,fact,relevant,scope+token,"회신 확인 작업 패턴: 기준 inbox에 direct access가 있으면 먼저 yes/no로 회신 여부를 확인하고, 없으면 blocker로 표시한 뒤 확인 가능 시점에 재점검한다. 회신이 없을 경우 next ping owner/date를 즉시 확정해 상위 이슈에 연결하며, Sarjoo Security Packet 사례에",30263
exp_recent,DGG-2679 packet bundle,2,0.7306,38cf620a-745f-4fda-b997-0a0cea2557ad,dggd:ops,fact,relevant,scope+token,"2026-04-11 KST CTO 추가 지시 후 Kuromi, MyMelody, Badtz 워크스페이스에 3층 업데이트를 반영했다. MEMORY에는 drive-first/artifact-first/evidence bundle 원칙을 추가했고, rules/reporting 및 slack-format에는 CTO/COO 보고 ",30263
exp_recent,DGG-2679 packet bundle,3,0.7224,20968507-5c69-46c8-9960-e4fbdd37fbb0,dggd:projects,fact,relevant,scope+token,"2026-04-10 KST 멜로디가 DGG-481용 Notion 문서 '[DGG-481] Showcase High-Visibility Narrative + Q&A v1 (Joe/Craig Room)'를 생성했고, DGG-440 Sarjoo Security Packet 페이지에 11:00 decision point를 추가했",30263
exp_recent,DGG-2679 packet bundle,4,0.7044,ea3e5cca-71be-4590-8c8a-59d9a905de6b,dggd:projects,decision,relevant,scope+token,"2026-04-11 09:23 KST Kuromi consolidated the DGG issue-handling workflow for Phase 3 carry-over and related review/dispute cases, and added a shared ops-packet rule that late-arriv",30263
exp_recent,DGG-2679 packet bundle,5,0.6627,84f78f8d-1d89-4b91-914b-e9f8c26a67c4,dggd:projects,fact,relevant,scope+token,"2026-04-11 KST DGG-539 review path was fixed in the tracker as: Badtz submits one failover evidence item, MyMelody performs first bundle-close review, then Kuromi makes the final j",30263
exp_recent,Agent run id required,1,0.7388,ce3295e8-ba55-4eaf-a0cc-de7583a1e497,dggd:projects,fact,partial,token only,2026-04-12 03:43 KST 실측: DGG-431 대상 homepage-blush-seven-22의 /robots.txt는 여전히 content-type text/html(index fallback)로 AC3 미충족. doogooda.ai 및 dggd-web.vercel.app /robots.txt는 Allow-,18180
exp_recent,Agent run id required,2,0.7356,66af0316-354d-4776-b812-c965322b3aae,dggd:projects,fact,partial,token only,2026-04-12 00:04 KST heartbeat run 8c99215a-d9e5-4c57-8659-8644dc8343dd selected DGG-258 on Paperclip API 3101. Checkout succeeded with checkoutRunId/executionRunId set to the run ,18180
exp_recent,Agent run id required,3,0.7086,3c893785-56e0-48ca-a06a-b6ed83495dfe,dggd:ops,fact,relevant,scope+token,2026-04-18 Paperclip 이슈 생성 jq parse error → 중복 생성 패턴: description에 제어문자(실제 개행 아닌 \n 같은) 섞이면 POST 응답에서 jq parse 실패 → NEW_ID 미획득. 재시도하면 서버엔 이미 생성됨 → Idempotency 위반 (AGENTS.md #24). 교,18180
exp_recent,Agent run id required,4,0.7086,823c460d-8e1f-4ed7-bfbf-0af5b85ba866,agent:mymelody-pm,entity,partial,token only,"DGG-482: GitHub preservation subtask for DGG-266 (assigned to Batz, agent ID 782203a7)",18180
exp_recent,Agent run id required,5,0.7062,35467955-c53d-4b5a-843e-ed7d0cec35ef,agent:hellokitty-exec,entity,partial,token only,"[[reply_to_current]] 좋아요, 정리 확정했어요. 핵심 블로커는 그대로 **`TEAM_ACCESS_REQUIRED`**이고, 이 단계는 **`dmffkrgo@gmail.com` 권한 세션 기준**으로 `production redeploy 1회`를 진행해 풀겠습니다. 액션은 `DGG-475` / `DGG-46",18180
exp_recent,CI billing 차단,1,0.828,f3e7f37a-7960-4bad-99a7-da04b0cf253a,dggd:projects,fact,relevant,scope+token,"Entity 프로젝트는 DGG/standup 기반 issue·PR 검수와 evidence-based validation을 수행하면서 Showcase/CEO v2 messaging, decision-center compare mode, smoke-gate/CI/billing 블로커 대응, PRD·PR template·UI ",19572
exp_recent,CI billing 차단,2,0.7461,66f7994a-aa25-404a-996d-a71b2d59602c,agent:badtz-dev,decision,partial,token only,DGG-581([Infra] blocked 이슈 heartbeat auto-checkout 재오픈 노이즈 차단)은 운영 가드(release/cancel/blocked/unassign)만으로 재발 완전 차단 실패. issue activity에서 blocked->in_progress 재상승이 반복되어 시스템(heartbeat,19572
exp_recent,CI billing 차단,3,0.7363,98302532-3fdb-42ba-a342-41cf37d82598,agent:cinna-mlds,fact,partial,token only,"DGG-2171의 copy-governance PRD/CI 변경은 PR #259로 merge 완료됐으며, `copy-lint`는 GitHub Actions billing limit로 시작되지 않았고 smoke fail의 root cause는 아직 재검증이 필요하다.",19572
exp_recent,CI billing 차단,4,0.6881,233dd17d-7d3f-4dff-a1d4-6682c67ff9a0,dggd:ops,decision,relevant,scope+token,"2026-04-17 KST: GitHub Actions billing 문제로 Entity repo workflow 4개(ci, compliance-impact-assessment-reminder, dc-showcase-smoke, verify-demo-numbers) 전부 disabled 처리. CTO 지시로 로컬 게이트",19572
exp_recent,CI billing 차단,5,0.6845,74912e21-4c64-4710-87ef-754f514c3529,dggd:projects,decision,relevant,scope+token,"2026-04-18 KST: Kuromi redefined DGG-2315 AC-3 handling under infra blocker. `.github/workflows/ci.yml` step addition and CI run trigger are counted as verified, but green conclusi",19572
